"Id","Response"
1,3
3,7
4,7
9,6
12,6
13,8
21,7
28,8
30,5
36,8
38,8
43,8
45,3
48,8
50,6
51,7
54,6
55,8
59,8
62,4
63,8
66,8
69,8
82,8
83,7
84,7
86,8
89,8
90,4
92,8
98,6
100,2
105,5
115,8
119,3
124,2
127,8
133,6
140,6
141,8
143,5
151,4
154,8
157,8
163,2
166,3
168,8
170,7
173,8
180,7
182,8
184,5
185,8
195,8
196,7
197,6
212,7
213,8
219,8
225,3
227,4
232,6
239,6
247,6
251,6
254,5
261,7
264,7
267,8
272,8
275,8
277,4
283,8
284,3
287,7
291,8
293,7
294,5
305,7
307,5
309,8
311,4
322,4
323,5
326,7
330,2
335,8
337,8
338,5
341,2
346,4
348,7
352,4
356,8
358,3
366,5
369,5
373,5
375,6
381,7
384,8
386,5
396,8
397,4
399,6
405,8
412,7
417,2
421,5
425,8
427,8
430,3
432,6
433,8
436,8
438,8
441,8
442,6
444,6
446,8
448,8
450,6
454,8
465,8
470,5
472,5
475,8
484,8
495,8
497,8
498,8
501,6
502,6
505,8
515,4
516,7
527,8
529,4
531,8
533,7
537,3
541,8
546,8
548,6
549,8
550,7
553,8
559,8
561,2
564,2
574,6
578,7
579,6
580,8
582,6
584,8
588,7
596,3
602,4
603,4
613,8
614,2
619,8
620,8
624,6
625,8
628,5
630,5
635,8
636,6
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,8
667,8
670,8
672,5
674,8
676,8
684,8
685,5
693,1
694,8
700,4
702,7
703,5
705,6
711,8
718,4
722,8
726,6
727,7
732,8
735,8
740,7
748,8
750,7
751,8
756,7
762,7
766,8
770,7
771,6
779,7
782,5
784,8
793,7
798,6
800,7
801,7
805,7
807,6
813,8
819,8
820,7
822,8
823,7
833,8
834,6
842,4
845,8
856,6
860,6
864,1
869,8
872,8
877,5
878,8
893,7
894,8
896,7
899,6
900,7
911,1
914,8
917,1
919,8
923,1
925,7
926,3
934,7
938,8
940,7
955,6
956,7
971,6
973,8
978,8
979,8
981,8
988,7
990,8
992,6
996,8
997,6
999,5
1000,8
1006,7
1009,3
1018,5
1025,6
1038,8
1042,8
1045,5
1046,8
1047,5
1050,6
1052,7
1054,8
1057,8
1061,4
1069,5
1071,6
1073,7
1074,8
1075,6
1083,6
1084,2
1089,6
1099,6
1103,4
1110,8
1123,8
1130,8
1135,7
1137,8
1145,8
1147,5
1152,8
1153,2
1154,8
1158,8
1166,7
1170,8
1172,8
1178,6
1179,8
1181,4
1182,8
1183,8
1191,7
1192,3
1200,3
1205,7
1207,6
1208,3
1209,5
1217,4
1223,8
1225,8
1226,3
1228,5
1230,7
1232,8
1235,8
1237,8
1257,8
1266,1
1267,5
1274,8
1277,8
1278,6
1280,8
1282,8
1293,6
1294,4
1305,8
1306,8
1311,8
1318,5
1320,8
1323,8
1325,5
1328,7
1336,5
1340,8
1341,8
1344,7
1345,7
1348,4
1358,1
1361,8
1364,5
1373,8
1377,4
1378,8
1380,7
1382,8
1383,6
1386,8
1387,2
1390,5
1395,8
1398,7
1402,5
1403,8
1405,8
1407,7
1410,1
1412,1
1419,4
1426,7
1428,8
1436,8
1437,5
1438,5
1441,8
1444,5
1448,3
1454,6
1457,7
1459,8
1463,8
1467,4
1471,7
1475,6
1476,4
1480,8
1481,4
1482,5
1489,5
1491,8
1494,8
1496,8
1500,8
1501,8
1503,6
1504,5
1505,5
1515,5
1517,6
1520,3
1521,5
1523,8
1526,8
1529,7
1530,8
1543,7
1544,8
1547,7
1550,8
1552,7
1554,5
1563,8
1574,6
1575,6
1576,4
1579,6
1582,2
1584,8
1585,8
1589,6
1596,5
1598,3
1611,6
1613,3
1615,8
1618,4
1627,7
1630,4
1638,8
1639,7
1640,8
1642,5
1645,4
1648,8
1654,4
1661,8
1662,8
1663,8
1666,5
1668,2
1670,2
1672,7
1681,7
1682,7
1683,4
1687,8
1688,8
1693,7
1694,7
1700,8
1704,7
1712,8
1716,8
1717,8
1722,4
1724,5
1738,2
1739,4
1740,8
1761,8
1763,8
1765,8
1766,8
1767,8
1771,5
1772,8
1777,8
1784,1
1799,6
1806,8
1810,2
1812,6
1814,4
1818,7
1819,8
1822,6
1823,8
1824,4
1834,5
1835,8
1844,6
1848,7
1849,8
1850,7
1851,4
1856,5
1862,2
1863,6
1872,3
1874,3
1875,8
1877,8
1900,7
1902,7
1904,5
1905,6
1908,8
1914,8
1916,2
1922,4
1933,6
1934,7
1939,8
1942,7
1947,8
1957,8
1971,8
1973,4
1974,6
1977,8
1981,5
1985,8
1987,7
1989,6
2001,5
2002,3
2007,3
2008,8
2011,6
2021,8
2034,8
2040,8
2044,5
2045,8
2048,8
2051,8
2062,8
2066,1
2068,2
2069,5
2074,8
2075,8
2078,8
2079,1
2080,3
2081,5
2084,1
2085,7
2087,8
2096,6
2102,8
2103,8
2107,8
2117,6
2118,3
2120,5
2121,3
2122,4
2130,8
2136,3
2138,8
2140,8
2143,8
2144,4
2145,6
2147,8
2150,3
2154,8
2155,2
2166,5
2169,4
2173,6
2176,4
2178,6
2179,5
2180,8
2184,8
2185,8
2188,7
2190,8
2194,8
2195,8
2198,7
2205,8
2206,8
2207,2
2212,6
2213,6
2216,8
2218,3
2224,8
2225,8
2228,8
2236,7
2242,8
2246,6
2250,8
2255,8
2256,4
2267,7
2268,8
2269,6
2272,6
2275,3
2280,8
2282,8
2287,8
2289,8
2293,8
2296,8
2307,6
2309,7
2313,7
2325,6
2327,8
2336,5
2339,8
2342,8
2347,8
2350,5
2360,7
2364,6
2369,1
2379,6
2394,8
2395,5
2399,8
2402,7
2410,8
2416,8
2420,8
2427,6
2434,8
2435,8
2441,7
2447,8
2452,7
2463,5
2467,8
2468,8
2470,6
2476,8
2483,1
2487,4
2492,8
2502,8
2504,7
2510,8
2511,3
2512,8
2517,8
2520,8
2521,8
2523,7
2524,7
2525,8
2526,6
2528,8
2530,5
2532,5
2536,5
2540,6
2541,7
2543,6
2549,8
2550,3
2556,5
2557,8
2559,7
2565,8
2566,8
2567,1
2568,6
2570,8
2573,8
2577,7
2578,7
2583,3
2586,6
2587,5
2588,8
2591,8
2597,8
2606,6
2607,8
2608,8
2611,2
2612,8
2613,8
2616,8
2621,8
2622,8
2634,8
2639,8
2642,4
2644,5
2650,3
2655,8
2664,8
2667,8
2670,5
2679,3
2681,8
2683,8
2685,8
2687,8
2696,5
2699,8
2712,3
2716,8
2720,8
2725,8
2726,8
2731,6
2733,8
2740,8
2742,8
2748,6
2749,8
2763,8
2771,8
2772,7
2773,7
2783,8
2784,8
2789,3
2796,3
2798,6
2799,8
2800,7
2802,8
2805,7
2809,7
2816,8
2817,7
2821,8
2822,8
2829,6
2832,5
2842,5
2844,7
2846,7
2851,7
2852,6
2853,8
2856,7
2862,4
2866,6
2868,4
2886,8
2892,7
2893,5
2898,8
2917,4
2923,2
2927,7
2930,8
2931,2
2935,8
2936,4
2961,3
2964,8
2967,7
2968,8
2970,8
2977,3
2978,8
2979,8
2985,5
2986,1
2989,8
2997,5
2999,8
3004,8
3008,8
3010,4
3020,8
3022,8
3024,8
3027,8
3032,8
3033,8
3048,4
3053,6
3056,8
3070,8
3071,4
3073,8
3080,8
3098,8
3099,4
3109,8
3110,8
3115,3
3121,8
3128,8
3132,2
3133,2
3141,8
3144,5
3145,5
3154,8
3159,7
3164,5
3168,4
3172,4
3176,8
3186,8
3193,5
3196,7
3199,4
3200,7
3209,8
3210,8
3214,5
3229,5
3230,6
3233,8
3242,3
3244,4
3249,6
3251,4
3253,1
3264,6
3271,3
3272,8
3274,6
3276,2
3280,5
3282,7
3285,8
3297,7
3298,8
3307,5
3309,8
3310,8
3312,6
3314,8
3315,5
3316,8
3319,6
3322,8
3327,7
3332,6
3334,8
3336,1
3338,8
3340,4
3343,4
3352,8
3353,8
3356,8
3357,8
3360,8
3365,8
3366,8
3367,8
3369,8
3374,4
3376,7
3381,8
3385,6
3386,7
3397,8
3403,6
3409,4
3414,8
3415,8
3423,8
3427,7
3428,8
3439,5
3441,8
3442,2
3447,7
3453,7
3456,4
3458,6
3459,6
3462,8
3464,8
3477,8
3480,5
3483,8
3490,5
3497,8
3498,8
3500,6
3504,6
3509,2
3510,8
3511,8
3525,4
3528,7
3529,2
3531,6
3532,8
3536,7
3537,5
3538,7
3547,4
3557,7
3572,8
3573,6
3588,8
3590,7
3597,8
3601,6
3602,8
3608,8
3611,7
3616,8
3619,7
3623,6
3638,5
3641,5
3643,8
3647,4
3648,6
3662,6
3663,8
3665,4
3679,8
3683,6
3692,7
3700,8
3705,5
3706,8
3711,7
3712,6
3716,3
3725,6
3727,8
3739,7
3740,5
3743,5
3744,1
3750,8
3751,7
3752,1
3753,5
3754,1
3761,8
3762,8
3764,3
3773,8
3774,5
3775,8
3776,8
3785,7
3788,8
3791,6
3792,8
3794,4
3797,8
3798,8
3807,3
3808,8
3810,6
3813,8
3815,8
3818,6
3820,4
3824,8
3832,8
3836,8
3837,7
3849,8
3853,6
3861,4
3862,7
3863,7
3867,4
3868,8
3871,8
3873,6
3874,8
3879,7
3881,7
3883,8
3887,7
3888,6
3889,3
3898,3
3901,8
3904,4
3905,6
3907,7
3911,4
3915,8
3917,5
3923,7
3925,5
3931,7
3934,8
3943,8
3946,6
3947,6
3949,6
3958,3
3959,8
3960,6
3969,8
3971,8
3973,8
3976,8
3979,8
3982,8
3992,8
3993,7
3995,8
3997,4
4002,8
4003,8
4006,8
4010,8
4011,8
4012,8
4019,8
4020,3
4026,6
4030,4
4033,6
4034,8
4038,4
4045,8
4046,8
4047,1
4048,8
4055,8
4061,8
4063,2
4066,8
4069,8
4076,8
4081,8
4086,8
4087,8
4094,8
4096,4
4105,7
4107,6
4110,4
4115,8
4128,4
4131,8
4136,3
4140,6
4141,6
4142,8
4146,8
4156,5
4159,8
4171,6
4174,1
4175,4
4180,7
4187,8
4191,4
4193,8
4197,8
4201,6
4203,5
4205,6
4206,5
4209,7
4213,8
4215,6
4220,8
4223,8
4225,7
4234,2
4241,5
4244,8
4247,6
4254,4
4255,4
4262,2
4263,8
4266,3
4269,8
4270,3
4271,4
4274,8
4279,7
4286,4
4287,7
4288,8
4290,2
4294,8
4296,7
4299,6
4302,8
4316,8
4320,6
4321,4
4324,6
4325,2
4326,8
4332,8
4334,8
4343,8
4348,6
4350,7
4353,7
4356,8
4361,8
4367,6
4369,8
4371,7
4373,7
4374,1
4376,8
4393,3
4394,7
4397,1
4398,8
4404,8
4410,6
4411,3
4412,8
4414,6
4415,8
4418,5
4420,8
4426,7
4427,8
4430,5
4431,5
4435,8
4437,5
4438,8
4458,4
4461,5
4462,5
4464,6
4482,8
4484,7
4489,4
4494,8
4496,8
4503,7
4508,5
4515,5
4516,8
4517,8
4518,8
4524,6
4525,3
4527,8
4529,8
4535,6
4538,2
4544,7
4545,5
4550,6
4551,7
4554,7
4563,8
4565,8
4573,6
4576,8
4578,7
4587,8
4590,5
4597,7
4600,8
4608,8
4612,6
4615,8
4616,7
4618,8
4620,4
4622,6
4624,8
4628,6
4631,8
4633,8
4646,4
4648,1
4655,8
4669,8
4673,7
4677,8
4680,8
4683,4
4691,2
4694,8
4697,8
4698,5
4704,8
4711,5
4713,5
4716,5
4724,6
4727,8
4730,7
4731,7
4732,7
4741,4
4742,8
4743,8
4753,8
4758,8
4762,1
4765,5
4782,3
4787,8
4788,8
4789,3
4790,8
4792,8
4797,7
4805,6
4806,8
4809,8
4814,8
4823,8
4825,3
4830,7
4832,6
4833,5
4840,6
4841,8
4844,8
4845,8
4849,7
4858,8
4870,8
4875,8
4877,8
4882,6
4891,6
4900,6
4905,8
4907,6
4908,8
4923,8
4924,8
4925,8
4927,6
4933,8
4935,8
4941,4
4944,8
4946,5
4953,7
4956,3
4968,5
4985,1
4989,8
4995,1
5005,7
5010,3
5016,8
5018,8
5029,4
5031,5
5037,5
5039,7
5041,7
5043,7
5052,8
5055,7
5059,6
5063,8
5067,8
5070,8
5072,3
5073,5
5079,8
5086,5
5093,7
5094,1
5098,8
5101,8
5108,4
5112,7
5113,8
5119,8
5120,5
5121,7
5126,8
5127,8
5128,8
5131,5
5137,4
5146,8
5148,7
5150,5
5159,8
5160,8
5163,4
5170,8
5177,5
5179,8
5185,8
5188,8
5190,8
5191,6
5192,3
5195,3
5198,6
5208,6
5214,7
5215,7
5219,5
5220,8
5223,5
5224,2
5225,8
5227,4
5229,8
5231,4
5236,5
5237,6
5238,7
5240,5
5248,8
5252,8
5256,6
5269,8
5270,5
5272,8
5275,8
5276,5
5279,8
5280,6
5281,8
5291,7
5292,8
5294,4
5296,8
5302,8
5307,8
5312,8
5313,7
5314,8
5315,6
5316,7
5317,8
5318,7
5321,5
5322,8
5323,6
5324,8
5334,8
5343,3
5344,2
5345,8
5355,3
5364,7
5369,8
5371,8
5380,6
5385,1
5392,6
5395,8
5396,8
5398,8
5400,8
5402,8
5411,8
5412,2
5414,7
5417,6
5424,8
5427,8
5428,6
5430,6
5432,4
5438,3
5448,7
5459,3
5460,8
5461,6
5463,3
5477,4
5479,4
5481,8
5482,8
5491,5
5493,7
5506,7
5507,2
5517,7
5532,8
5533,6
5534,8
5541,8
5542,4
5548,1
5551,3
5553,6
5554,8
5565,7
5574,8
5575,8
5576,1
5583,7
5584,3
5586,3
5587,4
5588,8
5596,8
5597,8
5601,8
5603,7
5613,6
5614,8
5618,8
5619,8
5621,8
5622,8
5627,8
5628,6
5630,8
5633,4
5639,5
5643,7
5649,6
5653,7
5655,5
5664,1
5667,4
5670,8
5674,4
5678,7
5680,5
5687,5
5692,8
5694,7
5697,8
5701,2
5704,8
5710,7
5711,6
5716,4
5724,8
5725,4
5726,5
5727,7
5731,6
5749,5
5751,8
5755,7
5756,7
5761,8
5767,5
5768,6
5770,6
5772,5
5773,7
5775,8
5776,6
5784,3
5792,1
5793,6
5794,8
5797,8
5799,8
5800,8
5805,4
5809,8
5813,3
5817,8
5824,7
5829,5
5832,2
5835,5
5837,2
5847,8
5854,5
5857,6
5860,8
5872,5
5874,8
5876,4
5880,8
5882,7
5891,5
5892,4
5906,8
5922,8
5923,6
5927,6
5929,5
5941,3
5942,5
5945,8
5947,7
5950,8
5951,8
5952,6
5960,8
5965,7
5967,8
5974,8
5977,2
5984,4
5987,8
5991,6
5996,4
5997,8
6002,2
6005,6
6008,8
6009,5
6014,7
6027,8
6030,4
6033,8
6034,4
6035,8
6043,8
6046,7
6047,6
6048,8
6070,5
6071,5
6085,2
6090,6
6091,8
6092,7
6098,8
6106,8
6108,8
6111,3
6115,8
6117,4
6121,5
6124,8
6126,8
6129,7
6131,8
6141,8
6142,3
6143,4
6144,6
6147,6
6148,5
6155,7
6158,3
6159,8
6162,5
6166,8
6172,3
6177,4
6178,8
6181,6
6182,8
6185,6
6191,8
6195,8
6204,7
6205,7
6211,7
6212,8
6219,8
6220,8
6223,4
6226,8
6239,7
6243,8
6249,1
6252,8
6255,6
6260,6
6261,7
6263,5
6264,6
6270,1
6271,8
6272,6
6274,8
6277,3
6280,7
6284,5
6286,4
6288,5
6290,8
6293,7
6299,6
6301,8
6304,2
6306,5
6308,6
6309,7
6312,8
6321,7
6322,5
6331,5
6335,8
6340,7
6343,8
6344,4
6347,6
6348,6
6349,8
6350,7
6354,8
6355,6
6362,5
6367,8
6372,8
6375,8
6379,2
6384,5
6386,8
6390,5
6396,6
6401,5
6403,6
6408,6
6410,4
6420,8
6430,8
6436,8
6440,8
6442,8
6443,8
6444,4
6459,8
6466,7
6469,7
6474,8
6475,6
6476,3
6490,4
6491,3
6496,3
6497,8
6498,7
6499,7
6501,5
6514,1
6515,7
6524,8
6526,4
6532,8
6537,7
6538,7
6541,5
6546,6
6551,1
6554,6
6557,5
6560,3
6565,8
6566,7
6578,6
6582,8
6587,7
6593,7
6596,7
6611,8
6615,8
6620,8
6626,7
6627,7
6628,6
6635,7
6639,6
6641,5
6645,6
6660,8
6663,7
6669,7
6674,5
6682,7
6685,4
6687,8
6692,6
6695,8
6696,5
6699,5
6700,7
6701,8
6705,1
6707,6
6709,8
6711,8
6714,5
6722,7
6723,8
6724,6
6726,4
6733,8
6734,8
6735,8
6736,5
6738,6
6741,8
6746,8
6754,8
6758,1
6763,2
6764,4
6768,8
6778,2
6784,8
6785,7
6787,8
6806,5
6825,4
6830,2
6831,7
6832,6
6833,5
6835,3
6842,8
6843,4
6853,6
6859,7
6860,4
6862,7
6867,3
6868,7
6885,8
6888,5
6889,7
6897,1
6898,1
6900,8
6902,1
6903,6
6907,2
6909,1
6911,1
6925,8
6930,5
6931,4
6933,5
6937,8
6941,4
6948,7
6950,8
6956,8
6957,8
6960,8
6962,5
6969,3
6971,5
6973,3
6980,8
6983,4
6985,6
6999,8
7005,8
7006,8
7007,6
7012,4
7013,7
7016,6
7017,8
7020,6
7024,8
7026,1
7027,1
7029,7
7032,2
7034,8
7044,8
7054,3
7057,7
7058,7
7060,6
7065,7
7069,5
7071,8
7076,3
7077,4
7081,2
7082,6
7093,8
7095,5
7098,4
7099,1
7105,4
7106,6
7122,7
7129,8
7130,8
7135,6
7136,2
7137,4
7138,8
7141,5
7143,8
7159,8
7162,8
7165,5
7169,4
7171,4
7172,8
7175,8
7178,6
7182,4
7190,8
7194,5
7196,7
7205,8
7207,7
7210,8
7211,7
7216,8
7219,3
7222,7
7224,8
7234,6
7237,7
7242,6
7246,8
7247,4
7251,6
7252,6
7257,4
7276,6
7281,8
7286,8
7287,6
7295,7
7297,6
7300,7
7307,8
7308,2
7310,4
7315,1
7317,6
7318,7
7322,7
7325,8
7326,8
7332,8
7342,8
7345,8
7347,7
7349,7
7352,6
7353,1
7354,8
7370,8
7392,8
7394,8
7396,8
7397,7
7400,8
7402,5
7406,8
7409,8
7410,8
7412,8
7414,4
7419,8
7420,7
7421,7
7424,5
7428,3
7431,8
7435,8
7437,8
7445,5
7449,7
7456,8
7458,8
7459,3
7463,2
7464,7
7465,8
7467,8
7471,3
7472,4
7485,4
7494,2
7505,7
7511,8
7512,8
7513,4
7514,1
7515,6
7523,1
7530,6
7531,8
7536,8
7538,8
7542,4
7543,8
7549,6
7557,8
7559,8
7560,8
7563,6
7564,8
7567,8
7572,8
7575,3
7588,6
7595,6
7596,6
7602,8
7609,7
7612,8
7613,5
7621,7
7622,7
7624,8
7625,8
7629,8
7632,8
7634,5
7636,8
7637,1
7638,5
7640,1
7643,8
7648,8
7653,5
7654,8
7662,7
7671,8
7674,7
7682,6
7683,8
7686,6
7690,5
7692,8
7694,4
7695,4
7700,7
7714,5
7715,8
7721,8
7728,8
7737,5
7739,6
7745,5
7747,6
7761,8
7762,8
7763,8
7770,5
7771,7
7774,8
7776,2
7779,6
7793,7
7795,8
7796,8
7800,8
7803,8
7808,8
7811,8
7812,6
7813,4
7814,7
7818,1
7826,7
7827,8
7831,8
7834,8
7837,4
7841,8
7842,8
7843,4
7844,8
7851,8
7854,8
7856,8
7859,8
7866,5
7869,8
7870,7
7872,2
7886,5
7892,7
