"Id","Response"
1,3
3,7
4,6
9,7
12,7
13,7
21,4
28,8
30,5
36,7
38,8
43,7
45,3
48,8
50,6
51,7
54,7
55,8
59,8
62,3
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,8
90,3
92,8
98,4
100,1
105,4
115,8
119,2
124,2
127,8
133,6
140,4
141,8
143,2
151,3
154,6
157,8
163,3
166,2
168,8
170,7
173,8
180,6
182,8
184,6
185,8
195,8
196,6
197,5
212,5
213,8
219,8
225,2
227,4
232,4
239,5
247,5
251,5
254,4
261,7
264,6
267,8
272,8
275,8
277,3
283,8
284,2
287,6
291,8
293,6
294,3
305,5
307,6
309,8
311,4
322,2
323,4
326,6
330,2
335,8
337,8
338,5
341,1
346,4
348,5
352,3
356,8
358,1
366,4
369,5
373,4
375,4
381,6
384,8
386,4
396,8
397,2
399,6
405,8
412,8
417,2
421,4
425,7
427,8
430,4
432,4
433,8
436,8
438,8
441,8
442,6
444,6
446,8
448,7
450,4
454,7
465,8
470,4
472,4
475,8
484,8
495,8
497,8
498,8
501,5
502,7
505,8
515,6
516,6
527,8
529,4
531,8
533,5
537,2
541,8
546,8
548,4
549,8
550,6
553,7
559,8
561,1
564,1
574,5
578,7
579,4
580,8
582,6
584,8
588,6
596,3
602,3
603,4
613,7
614,1
619,8
620,6
624,4
625,8
628,2
630,4
635,7
636,4
637,8
641,8
644,8
648,8
654,7
658,5
664,8
666,7
667,8
670,8
672,5
674,8
676,8
684,8
685,5
693,3
694,7
700,3
702,6
703,4
705,5
711,8
718,4
722,8
726,5
727,6
732,8
735,8
740,5
748,6
750,6
751,8
756,8
762,6
766,8
770,6
771,3
779,6
782,3
784,8
793,6
798,5
800,6
801,6
805,5
807,3
813,8
819,8
820,6
822,8
823,5
833,8
834,5
842,3
845,7
856,5
860,4
864,2
869,8
872,7
877,4
878,7
893,6
894,8
896,5
899,4
900,4
911,1
914,6
917,1
919,7
923,2
925,4
926,2
934,4
938,8
940,6
955,4
956,6
971,5
973,8
978,8
979,8
981,8
988,7
990,8
992,4
996,8
997,6
999,5
1000,8
1006,6
1009,2
1018,5
1025,5
1038,8
1042,7
1045,4
1046,8
1047,5
1050,5
1052,8
1054,8
1057,7
1061,3
1069,4
1071,5
1073,6
1074,8
1075,4
1083,5
1084,1
1089,4
1099,5
1103,4
1110,8
1123,7
1130,7
1135,7
1137,8
1145,8
1147,4
1152,8
1153,1
1154,8
1158,8
1166,6
1170,8
1172,7
1178,6
1179,8
1181,2
1182,8
1183,8
1191,6
1192,2
1200,2
1205,7
1207,5
1208,2
1209,4
1217,2
1223,8
1225,8
1226,2
1228,4
1230,6
1232,8
1235,8
1237,6
1257,7
1266,2
1267,4
1274,7
1277,8
1278,5
1280,8
1282,7
1293,5
1294,3
1305,8
1306,7
1311,7
1318,5
1320,8
1323,7
1325,4
1328,4
1336,3
1340,7
1341,8
1344,7
1345,8
1348,2
1358,1
1361,8
1364,4
1373,8
1377,5
1378,7
1380,7
1382,5
1383,5
1386,8
1387,1
1390,4
1395,8
1398,5
1402,2
1403,8
1405,8
1407,8
1410,1
1412,2
1419,4
1426,4
1428,8
1436,8
1437,4
1438,3
1441,8
1444,1
1448,3
1454,4
1457,6
1459,8
1463,7
1467,3
1471,4
1475,6
1476,4
1480,7
1481,3
1482,4
1489,4
1491,7
1494,8
1496,8
1500,8
1501,8
1503,4
1504,3
1505,3
1515,3
1517,5
1520,3
1521,3
1523,8
1526,7
1529,5
1530,6
1543,6
1544,8
1547,6
1550,8
1552,5
1554,4
1563,6
1574,8
1575,4
1576,5
1579,6
1582,4
1584,8
1585,8
1589,5
1596,5
1598,2
1611,6
1613,4
1615,6
1618,3
1627,5
1630,2
1638,8
1639,7
1640,8
1642,7
1645,4
1648,8
1654,4
1661,8
1662,8
1663,8
1666,3
1668,1
1670,2
1672,6
1681,4
1682,6
1683,2
1687,8
1688,8
1693,8
1694,7
1700,8
1704,6
1712,8
1716,8
1717,7
1722,2
1724,4
1738,1
1739,2
1740,8
1761,8
1763,8
1765,7
1766,7
1767,8
1771,4
1772,8
1777,8
1784,4
1799,6
1806,7
1810,1
1812,6
1814,2
1818,7
1819,8
1822,5
1823,8
1824,2
1834,4
1835,7
1844,5
1848,6
1849,8
1850,6
1851,4
1856,2
1862,1
1863,6
1872,4
1874,4
1875,8
1877,8
1900,6
1902,6
1904,4
1905,3
1908,8
1914,8
1916,1
1922,3
1933,6
1934,5
1939,8
1942,5
1947,8
1957,8
1971,8
1973,1
1974,5
1977,8
1981,4
1985,8
1987,6
1989,6
2001,3
2002,3
2007,1
2008,8
2011,4
2021,8
2034,8
2040,8
2044,4
2045,8
2048,8
2051,7
2062,8
2066,1
2068,4
2069,3
2074,8
2075,7
2078,8
2079,1
2080,1
2081,4
2084,1
2085,6
2087,8
2096,6
2102,7
2103,6
2107,8
2117,5
2118,2
2120,5
2121,3
2122,3
2130,8
2136,2
2138,8
2140,8
2143,7
2144,4
2145,4
2147,7
2150,2
2154,8
2155,1
2166,4
2169,3
2173,5
2176,1
2178,7
2179,4
2180,8
2184,8
2185,8
2188,5
2190,6
2194,8
2195,8
2198,4
2205,8
2206,8
2207,2
2212,4
2213,5
2216,8
2218,1
2224,8
2225,8
2228,8
2236,6
2242,8
2246,5
2250,8
2255,7
2256,2
2267,6
2268,7
2269,5
2272,5
2275,3
2280,8
2282,8
2287,7
2289,8
2293,8
2296,7
2307,6
2309,8
2313,5
2325,5
2327,7
2336,3
2339,8
2342,8
2347,8
2350,4
2360,5
2364,7
2369,1
2379,5
2394,7
2395,3
2399,8
2402,7
2410,8
2416,8
2420,8
2427,6
2434,8
2435,7
2441,8
2447,6
2452,5
2463,7
2467,6
2468,8
2470,6
2476,7
2483,1
2487,4
2492,8
2502,8
2504,4
2510,8
2511,2
2512,8
2517,8
2520,8
2521,8
2523,6
2524,7
2525,7
2526,4
2528,8
2530,4
2532,2
2536,4
2540,5
2541,6
2543,5
2549,7
2550,2
2556,4
2557,6
2559,7
2565,8
2566,8
2567,1
2568,4
2570,8
2573,8
2577,7
2578,6
2583,1
2586,3
2587,2
2588,8
2591,8
2597,8
2606,5
2607,8
2608,7
2611,1
2612,7
2613,8
2616,8
2621,8
2622,6
2634,8
2639,8
2642,2
2644,4
2650,2
2655,8
2664,7
2667,8
2670,5
2679,2
2681,7
2683,8
2685,8
2687,8
2696,4
2699,8
2712,2
2716,8
2720,8
2725,8
2726,8
2731,5
2733,8
2740,8
2742,6
2748,4
2749,8
2763,8
2771,8
2772,3
2773,6
2783,8
2784,8
2789,2
2796,4
2798,5
2799,8
2800,5
2802,8
2805,6
2809,6
2816,7
2817,4
2821,8
2822,8
2829,6
2832,3
2842,4
2844,8
2846,6
2851,6
2852,4
2853,8
2856,6
2862,2
2866,5
2868,4
2886,8
2892,5
2893,4
2898,8
2917,1
2923,2
2927,6
2930,8
2931,1
2935,8
2936,4
2961,1
2964,8
2967,6
2968,8
2970,8
2977,4
2978,4
2979,8
2985,4
2986,2
2989,6
2997,4
2999,8
3004,7
3008,7
3010,3
3020,8
3022,8
3024,7
3027,8
3032,8
3033,8
3048,3
3053,6
3056,8
3070,8
3071,4
3073,8
3080,8
3098,8
3099,4
3109,6
3110,7
3115,1
3121,8
3128,7
3132,2
3133,1
3141,8
3144,4
3145,4
3154,8
3159,7
3164,4
3168,3
3172,3
3176,5
3186,8
3193,2
3196,7
3199,4
3200,8
3209,8
3210,8
3214,5
3229,4
3230,5
3233,8
3242,2
3244,3
3249,6
3251,3
3253,1
3264,4
3271,1
3272,8
3274,5
3276,1
3280,4
3282,6
3285,7
3297,6
3298,8
3307,4
3309,8
3310,8
3312,6
3314,8
3315,4
3316,7
3319,5
3322,8
3327,6
3332,6
3334,8
3336,1
3338,6
3340,4
3343,1
3352,6
3353,7
3356,8
3357,8
3360,6
3365,8
3366,8
3367,8
3369,8
3374,4
3376,5
3381,8
3385,5
3386,4
3397,8
3403,5
3409,4
3414,8
3415,8
3423,8
3427,7
3428,8
3439,7
3441,8
3442,2
3447,5
3453,6
3456,5
3458,4
3459,7
3462,7
3464,8
3477,8
3480,4
3483,8
3490,4
3497,8
3498,7
3500,5
3504,5
3509,1
3510,8
3511,8
3525,4
3528,7
3529,1
3531,4
3532,8
3536,4
3537,4
3538,4
3547,4
3557,6
3572,8
3573,5
3588,8
3590,6
3597,8
3601,6
3602,7
3608,8
3611,6
3616,7
3619,6
3623,3
3638,5
3641,4
3643,8
3647,3
3648,6
3662,5
3663,8
3665,4
3679,7
3683,6
3692,7
3700,7
3705,6
3706,8
3711,8
3712,6
3716,2
3725,3
3727,8
3739,6
3740,4
3743,4
3744,1
3750,8
3751,5
3752,1
3753,4
3754,1
3761,8
3762,7
3764,4
3773,8
3774,3
3775,8
3776,8
3785,6
3788,8
3791,5
3792,8
3794,1
3797,7
3798,8
3807,2
3808,8
3810,4
3813,8
3815,8
3818,3
3820,2
3824,8
3832,8
3836,8
3837,6
3849,8
3853,3
3861,3
3862,6
3863,5
3867,1
3868,8
3871,8
3873,5
3874,8
3879,5
3881,6
3883,7
3887,7
3888,5
3889,3
3898,1
3901,8
3904,2
3905,5
3907,7
3911,3
3915,8
3917,3
3923,8
3925,4
3931,7
3934,8
3943,7
3946,6
3947,4
3949,5
3958,2
3959,8
3960,5
3969,7
3971,8
3973,8
3976,8
3979,8
3982,8
3992,8
3993,6
3995,8
3997,3
4002,8
4003,8
4006,8
4010,8
4011,7
4012,8
4019,7
4020,1
4026,5
4030,3
4033,5
4034,8
4038,2
4045,7
4046,8
4047,1
4048,8
4055,8
4061,8
4063,1
4066,6
4069,8
4076,8
4081,6
4086,8
4087,8
4094,8
4096,3
4105,4
4107,5
4110,2
4115,8
4128,1
4131,8
4136,1
4140,5
4141,5
4142,8
4146,8
4156,4
4159,8
4171,6
4174,1
4175,4
4180,8
4187,8
4191,1
4193,5
4197,8
4201,8
4203,7
4205,4
4206,3
4209,6
4213,8
4215,6
4220,8
4223,8
4225,6
4234,1
4241,4
4244,7
4247,5
4254,3
4255,3
4262,4
4263,8
4266,2
4269,8
4270,2
4271,1
4274,7
4279,7
4286,2
4287,6
4288,7
4290,1
4294,8
4296,8
4299,4
4302,8
4316,8
4320,4
4321,2
4324,5
4325,3
4326,8
4332,8
4334,8
4343,8
4348,7
4350,6
4353,6
4356,8
4361,8
4367,4
4369,8
4371,7
4373,6
4374,1
4376,8
4393,2
4394,6
4397,1
4398,8
4404,8
4410,4
4411,4
4412,8
4414,4
4415,8
4418,4
4420,8
4426,6
4427,8
4430,2
4431,4
4435,8
4437,4
4438,8
4458,4
4461,4
4462,2
4464,5
4482,8
4484,6
4489,3
4494,7
4496,8
4503,5
4508,3
4515,4
4516,8
4517,8
4518,7
4524,4
4525,2
4527,8
4529,8
4535,6
4538,1
4544,6
4545,2
4550,4
4551,8
4554,8
4563,8
4565,6
4573,4
4576,7
4578,7
4587,8
4590,4
4597,4
4600,7
4608,8
4612,4
4615,5
4616,8
4618,8
4620,3
4622,3
4624,7
4628,5
4631,8
4633,8
4646,4
4648,1
4655,8
4669,8
4673,6
4677,8
4680,8
4683,3
4691,2
4694,8
4697,8
4698,2
4704,6
4711,5
4713,4
4716,4
4724,5
4727,8
4730,7
4731,7
4732,6
4741,2
4742,8
4743,8
4753,8
4758,8
4762,1
4765,4
4782,2
4787,8
4788,8
4789,2
4790,8
4792,8
4797,6
4805,3
4806,8
4809,7
4814,8
4823,7
4825,1
4830,6
4832,5
4833,3
4840,3
4841,7
4844,8
4845,8
4849,6
4858,8
4870,7
4875,8
4877,8
4882,5
4891,5
4900,4
4905,8
4907,5
4908,8
4923,7
4924,8
4925,8
4927,3
4933,8
4935,8
4941,2
4944,8
4946,3
4953,6
4956,3
4968,2
4985,1
4989,8
4995,1
5005,6
5010,2
5016,8
5018,8
5029,3
5031,4
5037,4
5039,6
5041,4
5043,7
5052,6
5055,7
5059,4
5063,8
5067,8
5070,7
5072,5
5073,4
5079,8
5086,4
5093,6
5094,1
5098,8
5101,8
5108,4
5112,8
5113,8
5119,8
5120,5
5121,6
5126,8
5127,8
5128,8
5131,4
5137,3
5146,8
5148,6
5150,5
5159,8
5160,7
5163,2
5170,6
5177,4
5179,8
5185,7
5188,8
5190,8
5191,4
5192,3
5195,4
5198,6
5208,4
5214,6
5215,7
5219,4
5220,8
5223,3
5224,2
5225,8
5227,3
5229,8
5231,2
5236,6
5237,6
5238,6
5240,4
5248,8
5252,8
5256,4
5269,8
5270,4
5272,8
5275,8
5276,4
5279,8
5280,6
5281,8
5291,6
5292,8
5294,4
5296,8
5302,8
5307,8
5312,8
5313,6
5314,8
5315,7
5316,5
5317,7
5318,7
5321,4
5322,8
5323,5
5324,8
5334,7
5343,2
5344,1
5345,6
5355,2
5364,7
5369,8
5371,8
5380,6
5385,1
5392,5
5395,7
5396,8
5398,8
5400,8
5402,8
5411,8
5412,1
5414,7
5417,5
5424,8
5427,4
5428,4
5430,5
5432,6
5438,4
5448,7
5459,1
5460,8
5461,6
5463,2
5477,2
5479,4
5481,8
5482,7
5491,4
5493,8
5506,6
5507,1
5517,6
5532,8
5533,5
5534,8
5541,8
5542,3
5548,1
5551,2
5553,4
5554,8
5565,6
5574,8
5575,8
5576,1
5583,6
5584,2
5586,2
5587,2
5588,8
5596,7
5597,8
5601,8
5603,7
5613,2
5614,8
5618,8
5619,7
5621,8
5622,8
5627,8
5628,4
5630,8
5633,1
5639,4
5643,6
5649,5
5653,7
5655,4
5664,1
5667,4
5670,8
5674,3
5678,6
5680,4
5687,3
5692,5
5694,6
5697,8
5701,2
5704,8
5710,6
5711,4
5716,4
5724,8
5725,3
5726,4
5727,5
5731,6
5749,4
5751,8
5755,6
5756,6
5761,8
5767,3
5768,5
5770,5
5772,3
5773,5
5775,8
5776,8
5784,1
5792,1
5793,6
5794,8
5797,8
5799,8
5800,8
5805,3
5809,8
5813,2
5817,8
5824,6
5829,4
5832,1
5835,4
5837,3
5847,8
5854,5
5857,4
5860,8
5872,4
5874,8
5876,2
5880,8
5882,6
5891,5
5892,3
5906,8
5922,8
5923,5
5927,3
5929,4
5941,4
5942,4
5945,8
5947,6
5950,8
5951,8
5952,4
5960,8
5965,6
5967,8
5974,8
5977,1
5984,1
5987,8
5991,5
5996,2
5997,8
6002,1
6005,4
6008,8
6009,4
6014,6
6027,8
6030,3
6033,8
6034,3
6035,7
6043,8
6046,4
6047,5
6048,5
6070,4
6071,4
6085,1
6090,4
6091,7
6092,5
6098,8
6106,8
6108,8
6111,1
6115,8
6117,2
6121,4
6124,7
6126,7
6129,7
6131,8
6141,7
6142,2
6143,2
6144,4
6147,5
6148,4
6155,6
6158,6
6159,4
6162,3
6166,8
6172,2
6177,3
6178,8
6181,5
6182,8
6185,4
6191,8
6195,8
6204,6
6205,7
6211,7
6212,8
6219,8
6220,7
6223,1
6226,8
6239,7
6243,8
6249,1
6252,8
6255,4
6260,5
6261,6
6263,3
6264,3
6270,1
6271,8
6272,7
6274,8
6277,1
6280,6
6284,4
6286,3
6288,5
6290,7
6293,6
6299,5
6301,8
6304,3
6306,5
6308,7
6309,7
6312,8
6321,6
6322,3
6331,3
6335,8
6340,7
6343,8
6344,2
6347,4
6348,4
6349,8
6350,7
6354,8
6355,4
6362,3
6367,7
6372,8
6375,8
6379,2
6384,2
6386,8
6390,6
6396,4
6401,3
6403,4
6408,4
6410,4
6420,8
6430,8
6436,7
6440,8
6442,8
6443,8
6444,3
6459,8
6466,6
6469,6
6474,8
6475,3
6476,4
6490,3
6491,1
6496,3
6497,7
6498,6
6499,8
6501,4
6514,1
6515,6
6524,8
6526,2
6532,7
6537,6
6538,6
6541,4
6546,6
6551,2
6554,4
6557,2
6560,5
6565,7
6566,6
6578,4
6582,8
6587,4
6593,7
6596,8
6611,8
6615,6
6620,8
6626,5
6627,6
6628,5
6635,6
6639,6
6641,4
6645,6
6660,8
6663,6
6669,7
6674,3
6682,7
6685,3
6687,8
6692,5
6695,8
6696,3
6699,5
6700,6
6701,7
6705,2
6707,6
6709,8
6711,8
6714,4
6722,6
6723,8
6724,8
6726,3
6733,8
6734,8
6735,8
6736,4
6738,4
6741,8
6746,8
6754,8
6758,2
6763,2
6764,3
6768,7
6778,2
6784,6
6785,7
6787,8
6806,3
6825,3
6830,1
6831,6
6832,6
6833,4
6835,2
6842,8
6843,4
6853,5
6859,2
6860,2
6862,6
6867,4
6868,6
6885,8
6888,3
6889,6
6897,1
6898,1
6900,6
6902,2
6903,4
6907,1
6909,1
6911,1
6925,8
6930,4
6931,4
6933,4
6937,7
6941,2
6948,6
6950,8
6956,8
6957,8
6960,8
6962,4
6969,2
6971,3
6973,2
6980,4
6983,2
6985,3
6999,8
7005,8
7006,8
7007,6
7012,3
7013,7
7016,5
7017,8
7020,5
7024,7
7026,1
7027,1
7029,6
7032,2
7034,8
7044,8
7054,1
7057,7
7058,6
7060,5
7065,6
7069,4
7071,8
7076,1
7077,4
7081,3
7082,4
7093,8
7095,4
7098,3
7099,1
7105,2
7106,4
7122,6
7129,8
7130,7
7135,5
7136,1
7137,1
7138,8
7141,4
7143,6
7159,8
7162,8
7165,3
7169,2
7171,2
7172,7
7175,8
7178,4
7182,5
7190,8
7194,4
7196,7
7205,8
7207,4
7210,8
7211,5
7216,8
7219,2
7222,6
7224,7
7234,4
7237,7
7242,4
7246,7
7247,2
7251,6
7252,4
7257,2
7276,5
7281,6
7286,8
7287,6
7295,6
7297,6
7300,8
7307,8
7308,1
7310,4
7315,1
7317,5
7318,6
7322,7
7325,8
7326,8
7332,6
7342,8
7345,8
7347,6
7349,7
7352,4
7353,1
7354,8
7370,7
7392,8
7394,8
7396,7
7397,6
7400,7
7402,3
7406,8
7409,8
7410,6
7412,6
7414,2
7419,8
7420,5
7421,8
7424,5
7428,1
7431,8
7435,8
7437,7
7445,4
7449,6
7456,8
7458,7
7459,3
7463,2
7464,7
7465,8
7467,8
7471,1
7472,5
7485,4
7494,1
7505,3
7511,8
7512,7
7513,1
7514,1
7515,5
7523,2
7530,6
7531,8
7536,8
7538,8
7542,3
7543,8
7549,5
7557,7
7559,5
7560,8
7563,5
7564,8
7567,8
7572,8
7575,1
7588,5
7595,6
7596,6
7602,6
7609,6
7612,8
7613,4
7621,7
7622,8
7624,8
7625,7
7629,6
7632,8
7634,5
7636,8
7637,1
7638,3
7640,1
7643,8
7648,8
7653,4
7654,8
7662,6
7671,8
7674,7
7682,4
7683,8
7686,8
7690,4
7692,8
7694,2
7695,4
7700,6
7714,4
7715,7
7721,8
7728,8
7737,4
7739,4
7745,2
7747,4
7761,8
7762,8
7763,7
7770,3
7771,6
7774,8
7776,2
7779,3
7793,6
7795,8
7796,8
7800,8
7803,8
7808,8
7811,6
7812,5
7813,3
7814,6
7818,1
7826,7
7827,8
7831,8
7834,7
7837,2
7841,8
7842,8
7843,3
7844,8
7851,8
7854,8
7856,8
7859,8
7866,4
7869,8
7870,6
7872,1
7886,6
7892,5
